Date,Open,High,Low,Close,Adj Close,Volume
24-07-2009,79910.72597,80120.95097,79910.72597,80120.95097,80120.95097,77
27-07-2009,80314.35695,80482.53695,80162.99597,80162.99597,80162.99597,5
28-07-2009,79843.455,79843.455,78834.375,78960.51,78960.51,10
29-07-2009,77968.24903,77968.24903,77968.24903,77968.24903,77968.24903,129090
30-07-2009,78136.42903,78792.33,78069.15805,78615.74305,78615.74305,36620
31-07-2009,78573.69805,80566.62695,78371.88,80196.63403,80196.63403,10747
03-08-2009,80104.13195,81062.76,80087.31805,80440.49195,80440.49195,2602
04-08-2009,80440.49195,81525.255,79952.77097,81357.075,81357.075,565
05-08-2009,81365.48195,81407.52695,80709.58097,81079.57903,81079.57903,742
06-08-2009,81071.16695,81659.79695,80432.085,80785.26403,80785.26403,543
07-08-2009,81087.98597,81087.98597,80272.31195,80499.35597,80499.35597,641
10-08-2009,80305.95,80398.44695,79338.915,79465.05,79465.05,395
11-08-2009,79650.04903,79860.27403,79305.27695,79532.32097,79532.32097,106
12-08-2009,79675.275,80011.635,79296.87,79944.36403,79944.36403,102
13-08-2009,80104.13195,80734.80695,80078.90597,80280.72403,80280.72403,104
14-08-2009,80507.76805,80507.76805,79221.18695,79633.23,79633.23,141
17-08-2009,79666.86805,79666.86805,78329.835,78565.28597,78565.28597,128
18-08-2009,78926.87195,78926.87195,78666.195,78851.19403,78851.19403,276
19-08-2009,79195.96097,79456.64305,78489.60805,79322.09597,79322.09597,194
20-08-2009,79288.46305,79523.91403,79053.00695,79069.82597,79069.82597,35
21-08-2009,80474.13,80524.58195,80104.13195,80154.58903,80154.58903,53
24-08-2009,80179.815,80474.13,79153.91597,79238.00597,79238.00597,198
25-08-2009,79574.36597,80263.905,79338.915,79423.005,79423.005,143
26-08-2009,79675.275,79734.13903,79069.82597,79406.18597,79406.18597,128
27-08-2009,79397.77903,79835.04805,79288.46305,79507.095,79507.095,193
28-08-2009,79826.63597,80911.39903,79725.72695,80474.13,80474.13,182
31-08-2009,80684.355,80684.355,79448.23097,80028.45403,80028.45403,21
01-09-2009,80238.67903,80432.085,79776.18403,80280.72403,80280.72403,17
02-09-2009,80221.86,82307.29097,80221.86,82122.29195,82122.29195,65
03-09-2009,82248.42695,83736.82097,82248.42695,83736.82097,83736.82097,55
04-09-2009,83467.73195,83669.55,82870.695,83661.14305,83661.14305,75
08-09-2009,83543.415,84670.22305,83518.18903,83913.41305,83913.41305,90
09-09-2009,84258.18,84325.45097,83148.19097,83694.77597,83694.77597,84
10-09-2009,83770.45903,83854.54903,83022.05597,83703.18805,83703.18805,51
11-09-2009,84064.77403,85090.67305,84064.77403,84502.04305,84502.04305,198
14-09-2009,84333.86305,84409.54097,83963.865,84081.59305,84081.59305,91
15-09-2009,83921.82,84762.72,83661.14305,84510.45,84510.45,118
16-09-2009,85326.12403,85754.98097,85326.12403,85679.30305,85679.30305,92
17-09-2009,85536.34903,85729.755,85065.44195,85124.30597,85124.30597,48
18-09-2009,85258.85305,85569.98195,84863.62903,84863.62903,84863.62903,26
21-09-2009,84401.13403,84401.13403,83921.82,84401.13403,84401.13403,26
22-09-2009,85057.035,85721.34805,85057.035,85284.07903,85284.07903,67
23-09-2009,85300.89805,85368.16903,84779.53903,85183.17,85183.17,212
24-09-2009,85351.35,85351.35,83577.05305,83879.775,83879.775,123
25-09-2009,83862.95597,83871.36805,82971.60403,83265.91903,83265.91903,70
28-09-2009,83518.18903,83518.18903,83366.82805,83459.325,83459.325,6999
29-09-2009,83291.145,83728.41403,82803.42403,83509.77695,83509.77695,5742
30-09-2009,83459.325,84846.81,83459.325,84762.72,84762.72,1393
01-10-2009,84712.26805,84829.99097,83921.82,84047.955,84047.955,213
02-10-2009,83989.09097,84703.85597,82980.01097,84359.08903,84359.08903,247
05-10-2009,84434.76695,85569.98195,84342.27,85494.30403,85494.30403,180
06-10-2009,85729.755,87773.14611,85628.84597,87335.87195,87335.87195,180
07-10-2009,87310.65111,88143.13389,87310.65111,87731.10111,87731.10111,180
08-10-2009,87941.32611,89169.03805,87882.45695,88748.58805,88748.58805,160
09-10-2009,88235.64111,88420.635,87789.96,88109.50611,88109.50611,175
12-10-2009,88210.41,89000.85805,88210.41,88857.89889,88857.89889,209
13-10-2009,89471.76,89841.75805,88841.085,89488.57389,89488.57389,183
14-10-2009,89471.76,89993.11389,88933.58195,89463.35305,89463.35305,140
15-10-2009,89320.39389,89320.39389,88126.32,88277.68611,88277.68611,179
16-10-2009,88420.635,88815.85389,87764.72889,88353.35889,88353.35889,76
19-10-2009,88597.22195,89236.30389,88227.22389,88908.36111,88908.36111,157
20-10-2009,89597.895,89656.75389,88630.86,88950.40611,88950.40611,231
21-10-2009,88605.62889,89471.76,88084.275,89446.52889,89446.52889,35
22-10-2009,89236.30389,89236.30389,88420.635,88950.40611,88950.40611,173
23-10-2009,89454.94611,89631.53305,88311.31389,88765.40195,88765.40195,116
26-10-2009,88765.40195,88765.40195,87445.19305,87630.18695,87630.18695,76
27-10-2009,87411.555,87630.18695,87007.91889,87007.91889,87007.91889,100
28-10-2009,87630.18695,87630.18695,86444.52,86604.29305,86604.29305,307
29-10-2009,87049.96389,88067.46111,86814.51805,87991.77805,87991.77805,234
30-10-2009,87916.095,87941.32611,87083.60195,87428.36889,87428.36889,148
02-11-2009,88580.40805,89286.76611,87747.915,88580.40805,88580.40805,41
03-11-2009,91178.79111,91405.83,88866.31611,91178.79111,91178.79111,196
04-11-2009,91380.59889,92280.36805,91002.19389,91380.59889,91380.59889,114
05-11-2009,91548.77889,91851.51111,91321.74,91548.77889,91548.77889,63
06-11-2009,92086.95695,92499,91674.91389,92086.95695,92086.95695,102
09-11-2009,92381.27195,93281.04111,92381.27195,92566.27611,92566.27611,102
10-11-2009,92574.68305,93222.17195,92347.63389,92658.77305,92658.77305,92
11-11-2009,93676.26,93978.98195,93028.77111,93676.26,93676.26,104
12-11-2009,93003.54,94290.12111,92860.59111,93003.54,93003.54,68
13-11-2009,93852.84695,94029.43389,92919.45,93852.84695,93852.84695,56
16-11-2009,95744.87195,95904.645,94786.24389,95744.87195,95744.87195,64
17-11-2009,95761.69611,95896.23805,95131.02111,95761.69611,95761.69611,67
18-11-2009,95921.45889,96653.04805,95568.285,95921.45889,95921.45889,77
19-11-2009,95980.32805,96266.23611,95484.195,95980.32805,95980.32805,20
20-11-2009,96400.77805,96526.91305,95635.56111,96400.77805,96400.77805,18
23-11-2009,97905.99111,97796.67,97905.99111,97905.99111,97905.99111,3
24-11-2009,98006.895,98368.48611,98175.075,98006.895,98006.895,26
25-11-2009,99806.42305,99806.42305,99806.42305,99806.42305,99806.42305,205513
27-11-2009,100134.3761,100487.55,95030.10695,98738.47389,98738.47389,112015
30-11-2009,99217.79305,99537.32889,97855.52889,99318.69695,99318.69695,14549
01-12-2009,99310.29,101135.0389,98889.84,100832.3169,100832.3169,3787
02-12-2009,100605.2781,102362.7611,100596.8711,101917.08,101917.08,2145
03-12-2009,102421.62,103127.9781,101294.8119,102371.1681,102371.1681,1530
04-12-2009,101563.9061,101849.8039,96451.23,98284.39611,98284.39611,4288
07-12-2009,97342.58195,98006.895,95551.47111,97830.30805,97830.30805,3669
08-12-2009,97502.355,98326.44111,94626.48111,96098.05611,96098.05611,784
09-12-2009,95046.93111,96451.23,93886.485,94214.43805,94214.43805,2256
10-12-2009,94660.10889,95425.33611,94365.79389,94660.10889,94660.10889,344
11-12-2009,95248.73889,95980.32805,93407.17611,94130.34805,94130.34805,912
14-12-2009,94458.30111,94811.475,93718.305,94458.30111,94458.30111,230
15-12-2009,94845.11305,94903.97195,93499.67305,94382.61805,94382.61805,242
